uri	prefLabels	prefUnknown	altLabels	altLanguages	altUnknown	notations
http://bartoc.org/en/node/129	1	0	0	0	0	0
http://bartoc.org/en/node/130	1	1	2	2	1	1
http://bartoc.org/en/node/131	1	0	2	1	0	0
http://bartoc.org/en/node/132	1	1	3	2	0	1
http://bartoc.org/en/node/133	1	0	0	0	0	0
http://bartoc.org/en/node/134	1	1	2	2	1	0
http://bartoc.org/en/node/135	1	0	0	0	0	0
http://bartoc.org/en/node/136	1	0	2	1	0	0
http://bartoc.org/en/node/137	1	0	4	2	0	0
http://bartoc.org/en/node/138	1	0	2	1	0	0
http://bartoc.org/en/node/139	1	0	2	1	0	0
http://bartoc.org/en/node/140	1	0	2	1	0	0
http://bartoc.org/en/node/141	1	0	0	0	0	0
http://bartoc.org/en/node/142	1	0	2	1	0	0
http://bartoc.org/en/node/143	1	0	2	2	1	0
http://bartoc.org/en/node/144	1	0	0	0	0	0
http://bartoc.org/en/node/146	1	0	0	0	0	0
http://bartoc.org/en/node/147	1	1	2	2	1	0
http://bartoc.org/en/node/148	1	0	0	0	0	0
http://bartoc.org/en/node/149	1	0	0	0	0	0
http://bartoc.org/en/node/150	1	0	3	1	0	0
http://bartoc.org/en/node/151	1	0	2	1	0	0
http://bartoc.org/en/node/152	1	0	3	1	0	0
http://bartoc.org/en/node/153	1	0	3	3	0	0
http://bartoc.org/en/node/154	1	0	0	0	0	0
http://bartoc.org/en/node/155	1	0	0	0	0	0
http://bartoc.org/en/node/156	1	1	2	1	2	0
http://bartoc.org/en/node/157	1	0	2	1	0	0
http://bartoc.org/en/node/158	2	1	0	0	0	1
http://bartoc.org/en/node/159	1	0	0	0	0	1
http://bartoc.org/en/node/160	1	0	0	0	0	0
http://bartoc.org/en/node/161	1	1	2	2	1	0
http://bartoc.org/en/node/163	2	1	0	0	0	1
http://bartoc.org/en/node/164	1	0	0	0	0	0
http://bartoc.org/en/node/165	1	0	0	0	0	0
http://bartoc.org/en/node/166	1	1	2	2	1	0
http://bartoc.org/en/node/167	1	0	2	2	0	0
http://bartoc.org/en/node/168	1	1	0	0	0	1
http://bartoc.org/en/node/169	1	0	2	1	0	0
http://bartoc.org/en/node/170	1	0	0	0	0	0
http://bartoc.org/en/node/171	1	1	2	2	1	0
http://bartoc.org/en/node/172	2	1	0	0	0	1
http://bartoc.org/en/node/173	1	0	2	1	0	0
http://bartoc.org/en/node/174	1	0	0	0	0	0
http://bartoc.org/en/node/175	2	1	0	0	0	1
http://bartoc.org/en/node/176	1	0	3	1	0	0
http://bartoc.org/en/node/177	1	1	2	1	2	0
http://bartoc.org/en/node/178	1	0	2	1	0	0
http://bartoc.org/en/node/179	1	0	2	1	0	0
http://bartoc.org/en/node/180	1	0	3	1	0	0
http://bartoc.org/en/node/181	1	0	2	1	0	1
http://bartoc.org/en/node/182	1	1	2	2	0	1
http://bartoc.org/en/node/183	1	0	0	0	0	0
http://bartoc.org/en/node/184	1	0	4	1	0	0
